STAR_OUT,TEAM_CITY,TEAM_NAME,BENEFICIARY,SCORE,DELTA_PTS,DELTA_AST,DELTA_REB,DELTA_MIN,N_WITHOUT,LOW_SAMPLE,RANK
Keyonte George,Utah,Jazz,Svi Mykhailiuk,7.606155272919985,4.683783783783785,0.8621621621621621,0.20540540540540553,1.8548039215686316,10,False,3
Keyonte George,Utah,Jazz,Cody Williams,4.812047101449273,0.6399999999999997,-0.25111111111111106,0.8177777777777777,3.6053804347826066,9,False,4
Keyonte George,Utah,Jazz,Isaiah Collier,2.244626517273578,0.047058823529412486,-0.4382352941176464,1.4058823529411768,1.229920634920635,10,False,5
Kyle Kuzma,Milwaukee,Bucks,Andre Jackson Jr.,15.674467248712526,2.5818459969403365,1.0071392146863845,2.485976542580316,9.59950549450549,53,False,1
Kyle Kuzma,Milwaukee,Bucks,Pat Connaughton,4.105852187028658,-0.7250712250712255,0.264957264957265,0.5883190883190883,3.97764705882353,54,False,2
Kyle Kuzma,Milwaukee,Bucks,Damian Lillard,4.038553140096617,1.8543478260869577,1.1369565217391306,-0.25869565217391344,1.3059444444444424,46,False,3
Kyle Kuzma,Milwaukee,Bucks,Tyler Smith,3.453173645320198,1.316502463054187,0.13793103448275862,1.2339901477832513,0.7647500000000012,29,False,4
Kyle Kuzma,Milwaukee,Bucks,Bobby Portis,3.0616726527768856,3.950727883538635,0.6629339305711086,1.9339305711086228,-3.485919732441481,47,False,5
Kyrie Irving,Dallas,Mavericks,Brandon Williams,22.282841249543296,8.366459627329192,2.227329192546584,1.7304347826086959,9.958617647058821,23,False,1
Kyrie Irving,Dallas,Mavericks,Kessler Edwards,19.656562251877645,6.135084427767355,0.39399624765478414,1.75422138836773,11.373260188087775,13,False,2
Kyrie Irving,Dallas,Mavericks,Quentin Grimes,16.35637915742793,6.372505543237249,1.9955654101995564,1.002217294900222,6.986090909090905,11,False,3
Kyrie Irving,Dallas,Mavericks,Spencer Dinwiddie,15.094765318313708,4.2788018433179715,2.4308755760368665,1.2079493087557602,7.177138590203111,31,False,4
Kyrie Irving,Dallas,Mavericks,Naji Marshall,14.20835856265415,3.819220430107528,1.247311827956989,1.098790322580645,8.043035982008988,31,False,5
LaMelo Ball,Charlotte,Hornets,Vasilije Micic,29.640347222222225,9.027777777777779,4.083333333333333,1.9027777777777777,14.626458333333334,16,False,1
LaMelo Ball,Charlotte,Hornets,KJ Simpson,19.594962422634843,6.359416445623341,2.7480106100795756,1.8381962864721486,8.649339080459775,29,False,2
LaMelo Ball,Charlotte,Hornets,Brandon Miller,13.805683516483516,8.170329670329668,-0.5659340659340657,1.3406593406593403,4.860628571428574,7,False,3
LaMelo Ball,Charlotte,Hornets,Wendell Moore Jr.,13.559444444444447,4.055555555555555,0.4722222222222223,3.3472222222222223,5.684444444444447,9,False,4
LaMelo Ball,Charlotte,Hornets,Isaiah Wong,12.31764346764347,3.1597222222222223,0.7083333333333334,0.4375,8.012087912087914,16,False,5
Lauri Markkanen,Utah,Jazz,Kyle Filipowski,17.951657589572562,6.2122448979591836,0.5136054421768705,3.5251700680272116,7.700637181409299,30,False,1
Lauri Markkanen,Utah,Jazz,Micah Potter,17.81356983144135,4.113003095975232,0.7291021671826625,3.9845201238390096,8.986944444444443,19,False,2
Lauri Markkanen,Utah,Jazz,Oscar Tshiebwe,17.093809523809526,4.19047619047619,0.3333333333333333,4.833333333333334,7.736666666666668,21,False,3
Lauri Markkanen,Utah,Jazz,Isaiah Collier,14.81607857142856,4.732857142857142,1.732857142857143,0.8757142857142854,7.47464999999999,28,False,4
Lauri Markkanen,Utah,Jazz,Drew Eubanks,13.506666666666664,4.824999999999999,0.4750000000000001,2.925,5.281666666666666,10,False,5
LeBron James,Los Angeles,Lakers,Jordan Goodwin,25.289633333333338,5.641666666666667,1.6083333333333334,2.908333333333333,15.131300000000005,8,False,1
LeBron James,Los Angeles,Lakers,Markieff Morris,20.976666666666667,3.892857142857143,1.4821428571428572,1.875,13.726666666666667,8,False,2
LeBron James,Los Angeles,Lakers,Dalton Knecht,19.946361539795383,6.962025316455696,0.42784810126582273,2.358227848101266,10.198260273972597,10,False,3
LeBron James,Los Angeles,Lakers,Austin Reaves,18.1310472972973,9.341216216216218,3.489864864864865,2.216216216216216,3.083750000000002,8,False,4
LeBron James,Los Angeles,Lakers,Bronny James,17.409655172413792,3.333333333333333,1.6091954022988504,0.9885057471264367,11.478620689655173,6,False,5
Luka Doncic,Dallas,Mavericks,Kessler Edwards,22.66019607843137,4.421052631578948,1.0164473684210527,2.9375,14.28519607843137,38,False,1
Luka Doncic,Dallas,Mavericks,Spencer Dinwiddie,21.84892234131988,6.970365699873897,3.131778058007566,1.7364438839848675,10.010334699453551,61,False,2
Luka Doncic,Dallas,Mavericks,Brandon Williams,17.27269435215947,5.489922480620155,1.6666666666666667,0.9255813953488371,9.19052380952381,43,False,3
Luka Doncic,Dallas,Mavericks,Quentin Grimes,14.281,5.538461538461538,1.153846153846154,0.6923076923076925,6.896384615384616,26,False,4
Luka Doncic,Dallas,Mavericks,Naji Marshall,14.237696588213833,4.980295566502463,0.5369458128078821,1.3858784893267648,7.334576719576724,58,False,5
Malik Monk,Sacramento,Kings,Kevin Huerter,16.795390109890107,2.3301282051282053,0.9647435897435896,1.7435897435897436,11.75692857142857,8,False,1
Malik Monk,Sacramento,Kings,De'Aaron Fox,15.842488385598132,11.916666666666668,1.1785714285714288,0.3452380952380949,2.402012195121941,8,False,2
Malik Monk,Sacramento,Kings,Jonas Valanciunas,12.681527777777779,3.791666666666667,1.6388888888888888,1.0555555555555554,6.195416666666668,9,False,3
Malik Monk,Sacramento,Kings,Jordan McLaughlin,12.575831949058692,3.8895348837209305,1.0901162790697674,1.377906976744186,6.218273809523807,8,False,4
Malik Monk,Sacramento,Kings,Jake LaRavia,12.197428571428569,2.9142857142857137,0.1142857142857141,1.2999999999999998,7.868857142857141,5,False,5
Michael Porter Jr.,Denver,Nuggets,Jalen Pickett,29.150413943355122,6.868627450980393,3.7862745098039214,3.13921568627451,15.356296296296296,6,False,1
Michael Porter Jr.,Denver,Nuggets,Zeke Nnaji,20.35974816072439,4.896491228070175,0.9456140350877194,2.3754385964912283,12.142204301075267,6,False,2
Michael Porter Jr.,Denver,Nuggets,Christian Braun,14.097013498055361,3.8808510638297857,1.774468085106383,2.440425531914893,6.0012688172042985,5,False,3
Michael Porter Jr.,Denver,Nuggets,DeAndre Jordan,12.853622807017546,2.073684210526316,0.8736842105263157,4.56842105263158,5.337833333333334,5,False,4
Michael Porter Jr.,Denver,Nuggets,Hunter Tyson,12.840472990777338,3.6557971014492754,0.2282608695652174,2.1775362318840576,6.778878787878787,6,False,5
Miles Bridges,Charlotte,Hornets,LaMelo Ball,25.690060908084156,16.112956810631225,0.6677740863787376,2.2724252491694354,6.636904761904759,7,False,1
Miles Bridges,Charlotte,Hornets,Brandon Miller,20.95068825910931,9.515384615384615,0.3884615384615384,2.5769230769230766,8.46991902834008,13,False,2
Miles Bridges,Charlotte,Hornets,Grant Williams,15.04417948717949,4.423076923076923,0.0032051282051281937,1.810897435897436,8.807000000000002,8,False,3
Miles Bridges,Charlotte,Hornets,Moussa Diabate,11.390597567424638,-2.5898617511520734,0.22580645161290325,3.700460829493087,10.05419203747072,14,False,4
Miles Bridges,Charlotte,Hornets,Nick Richards,10.380000000000003,1.9363636363636374,0.3999999999999999,1.536363636363637,6.507272727272728,5,False,5
